SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:8:47

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-1.858	16.351	33.225	14.580	85.640	13.246	10.939	-15.760	
-1.859	16.351	33.225	14.626	85.635	13.372	10.950	-15.760	
-1.859	16.351	33.224	14.670	85.628	13.493	10.961	-15.760	
-1.860	16.351	33.224	14.714	85.621	13.611	10.972	-15.760	
-1.861	16.351	33.223	14.756	85.612	13.725	10.982	-15.760	
-1.861	16.351	33.223	14.797	85.603	13.835	10.992	-15.760	
-1.862	16.351	33.222	14.837	85.593	13.942	11.001	-15.760	
-1.863	16.351	33.222	14.877	85.582	14.045	11.010	-15.760	
-1.863	16.351	33.222	14.915	85.571	14.146	11.018	-15.760	
-1.864	16.351	33.221	14.952	85.560	14.243	11.026	-15.760	
-1.865	16.351	33.221	14.987	85.548	14.338	11.034	-15.760	
-1.866	16.351	33.221	15.020	85.537	14.429	11.041	-15.760	
-1.867	16.351	33.221	15.050	85.526	14.519	11.048	-15.760	
-1.868	16.351	33.221	15.076	85.516	14.605	11.055	-15.760	
-1.869	16.351	33.221	15.101	85.507	14.690	11.062	-15.760	
-1.870	16.351	33.221	15.124	85.498	14.772	11.068	-15.760	
-1.871	16.351	33.221	15.147	85.490	14.852	11.074	-15.760	
-1.872	16.351	33.222	15.170	85.483	14.930	11.080	-15.760	
-1.873	16.351	33.222	15.197	85.477	15.007	11.086	-15.761	
-1.875	16.351	33.223	15.226	85.472	15.083	11.092	-15.761	
-1.876	16.351	33.224	15.260	85.468	15.157	11.098	-15.761	
-1.878	16.351	33.224	15.299	85.465	15.230	11.104	-15.760	
-1.879	16.351	33.226	15.341	85.463	15.303	11.109	-15.760	
-1.881	16.351	33.227	15.386	85.461	15.375	11.115	-15.759	
-1.882	16.351	33.228	15.434	85.460	15.447	11.122	-15.759	
-1.884	16.351	33.229	15.484	85.460	15.519	11.128	-15.758	
-1.886	16.351	33.230	15.535	85.460	15.591	11.134	-15.757	
-1.888	16.351	33.231	15.586	85.461	15.665	11.141	-15.756	
-1.890	16.351	33.232	15.638	85.461	15.739	11.148	-15.756	
-1.892	16.351	33.233	15.690	85.462	15.813	11.156	-15.757	
-1.894	16.351	33.234	15.742	85.463	15.890	11.164	-15.758	
