SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:16:35

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-1.124	16.052	33.636	11.646	84.597	7.154	9.576	-17.285	
-1.129	16.052	33.625	11.671	84.613	7.355	9.584	-17.285	
-1.134	16.052	33.616	11.701	84.628	7.556	9.592	-17.285	
-1.139	16.052	33.608	11.736	84.645	7.756	9.601	-17.284	
-1.143	16.052	33.602	11.776	84.661	7.954	9.609	-17.284	
-1.147	16.052	33.598	11.823	84.678	8.149	9.618	-17.284	
-1.150	16.052	33.595	11.875	84.695	8.343	9.626	-17.284	
-1.153	16.052	33.594	11.934	84.713	8.533	9.635	-17.284	
-1.156	16.052	33.595	11.998	84.730	8.721	9.644	-17.285	
-1.158	16.052	33.597	12.067	84.747	8.908	9.653	-17.285	
-1.160	16.052	33.600	12.142	84.763	9.092	9.663	-17.286	
-1.162	16.052	33.605	12.220	84.779	9.276	9.674	-17.287	
-1.163	16.052	33.610	12.301	84.794	9.460	9.685	-17.288	
-1.165	16.052	33.617	12.385	84.808	9.645	9.698	-17.289	
-1.166	16.052	33.624	12.470	84.821	9.831	9.712	-17.291	
-1.167	16.052	33.632	12.555	84.832	10.021	9.728	-17.292	
-1.168	16.052	33.640	12.639	84.842	10.214	9.745	-17.294	
-1.168	16.052	33.648	12.721	84.850	10.411	9.765	-17.295	
-1.169	16.052	33.656	12.800	84.857	10.614	9.786	-17.296	
-1.169	16.052	33.665	12.876	84.861	10.822	9.810	-17.296	
-1.170	16.052	33.673	12.947	84.864	11.036	9.835	-17.296	
-1.170	16.052	33.681	13.015	84.865	11.256	9.863	-17.295	
-1.171	16.052	33.689	13.078	84.863	11.481	9.892	-17.293	
-1.172	16.052	33.696	13.137	84.859	11.711	9.922	-17.289	
-1.173	16.052	33.703	13.193	84.854	11.946	9.954	-17.284	
-1.173	16.052	33.710	13.245	84.847	12.185	9.987	-17.278	
-1.175	16.052	33.717	13.295	84.838	12.427	10.020	-17.269	
-1.176	16.052	33.723	13.343	84.828	12.672	10.054	-17.259	
-1.178	16.052	33.728	13.391	84.817	12.919	10.088	-17.247	
-1.179	16.052	33.733	13.438	84.806	13.167	10.121	-17.234	
-1.181	16.052	33.738	13.487	84.794	13.415	10.155	-17.219	
-1.184	16.052	33.742	13.537	84.783	13.662	10.187	-17.203	
-1.187	16.052	33.745	13.591	84.771	13.908	10.219	-17.186	
-1.190	16.052	33.748	13.647	84.761	14.153	10.250	-17.168	
-1.193	16.052	33.749	13.706	84.751	14.394	10.280	-17.151	
-1.197	16.052	33.751	13.768	84.742	14.633	10.309	-17.133	
-1.201	16.052	33.751	13.833	84.734	14.869	10.338	-17.116	
-1.206	16.052	33.750	13.901	84.726	15.100	10.365	-17.099	
-1.211	16.052	33.749	13.971	84.719	15.328	10.390	-17.083	
-1.216	16.052	33.747	14.042	84.712	15.552	10.415	-17.068	
-1.222	16.052	33.744	14.115	84.706	15.772	10.438	-17.053	
-1.228	16.052	33.740	14.188	84.701	15.987	10.459	-17.038	
-1.234	16.052	33.735	14.260	84.696	16.198	10.479	-17.024	
-1.241	16.052	33.729	14.332	84.691	16.404	10.497	-17.011	
-1.248	16.052	33.722	14.403	84.687	16.606	10.514	-16.999	
-1.256	16.052	33.715	14.472	84.683	16.803	10.529	-16.987	
-1.263	16.052	33.707	14.540	84.679	16.997	10.542	-16.976	
-1.271	16.052	33.698	14.605	84.676	17.186	10.554	-16.966	
-1.280	16.052	33.688	14.668	84.672	17.372	10.565	-16.957	
-1.288	16.052	33.678	14.730	84.669	17.556	10.575	-16.949	
-1.297	16.052	33.668	14.789	84.665	17.737	10.584	-16.941	
-1.306	16.052	33.657	14.846	84.660	17.917	10.592	-16.935	
-1.315	16.052	33.647	14.902	84.654	18.096	10.600	-16.930	
-1.324	16.052	33.636	14.956	84.647	18.275	10.608	-16.925	
-1.333	16.051	33.625	15.010	84.638	18.455	10.616	-16.922	
-1.342	16.051	33.615	15.063	84.627	18.635	10.624	-16.920	
-1.351	16.051	33.605	15.116	84.613	18.818	10.633	-16.919	
-1.361	16.051	33.596	15.168	84.598	19.002	10.642	-16.918	
-1.370	16.051	33.588	15.220	84.579	19.189	10.652	-16.918	
-1.379	16.051	33.580	15.272	84.557	19.379	10.663	-16.919	
-1.387	16.051	33.573	15.323	84.533	19.572	10.675	-16.920	
-1.396	16.051	33.567	15.374	84.505	19.768	10.687	-16.922	
-1.405	16.051	33.561	15.425	84.476	19.967	10.701	-16.923	
-1.413	16.051	33.557	15.476	84.443	20.167	10.715	-16.925	
-1.421	16.051	33.553	15.527	84.409	20.370	10.729	-16.927	
-1.428	16.051	33.550	15.578	84.374	20.574	10.745	-16.928	
